YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AS,136,N431AS,ANC,SEA,135,,,,,205.0,,,1448,,,600,,,0,1,A,,,,,
2015,1,1,4,AA,2459,N3BDAA,PHX,DFW,200,,,,,120.0,,,868,,,500,,,0,1,B,,,,,
2015,1,1,4,OO,5254,N746SK,MAF,IAH,510,,,,,87.0,,,429,,,637,,,0,1,B,,,,,
2015,1,1,4,MQ,2859,N660MQ,SGF,DFW,525,,,,,95.0,,,364,,,700,,,0,1,B,,,,,
2015,1,1,4,OO,5460,N583SW,RDD,SFO,530,,,,,90.0,,,199,,,700,,,0,1,A,,,,,
2015,1,1,4,MQ,2926,N932MQ,CHS,DFW,545,,,,,190.0,,,987,,,755,,,0,1,B,,,,,
2015,1,1,4,OO,6457,N560SW,SMX,LAX,545,,,,,66.0,,,134,,,651,,,0,1,A,,,,,
2015,1,1,4,MQ,3534,N925MQ,ABI,DFW,550,,,,,55.0,,,158,,,645,,,0,1,B,,,,,
2015,1,1,4,MQ,3161,N5PBMQ,XNA,DFW,555,,,,,75.0,,,280,,,710,,,0,1,B,,,,,
2015,1,1,4,AA,175,N3EWAA,DCA,DFW,600,,,,,215.0,,,1192,,,835,,,0,1,B,,,,,
2015,1,1,4,AA,1103,N3HCAA,LGA,DFW,600,,,,,245.0,,,1389,,,905,,,0,1,B,,,,,
2015,1,1,4,AA,1055,N573AA,MCO,DFW,600,,,,,185.0,,,985,,,805,,,0,1,B,,,,,
2015,1,1,4,AA,1180,N3AYAA,SFO,DFW,600,,,,,210.0,,,1464,,,1130,,,0,1,B,,,,,
2015,1,1,4,AA,1462,N547AA,ONT,DFW,600,,,,,180.0,,,1188,,,1100,,,0,1,B,,,,,
2015,1,1,4,F9,865,,MSO,DEN,600,,,,,120.0,,,679,,,800,,,0,1,A,,,,,
2015,1,1,4,F9,1256,,ORD,MIA,600,,,,,180.0,,,1197,,,1000,,,0,1,A,,,,,
2015,1,1,4,MQ,2898,N514MQ,MAF,DFW,600,,,,,70.0,,,309,,,710,,,0,1,B,,,,,
2015,1,1,4,MQ,2957,N504MQ,AMA,DFW,600,,,,,80.0,,,312,,,720,,,0,1,B,,,,,
2015,1,1,4,MQ,2962,N609MQ,CLL,DFW,600,,,,,60.0,,,164,,,700,,,0,1,B,,,,,
2015,1,1,4,MQ,3014,N908MQ,HOU,DFW,600,,,,,70.0,,,247,,,710,,,0,1,B,,,,,
2015,1,1,4,MQ,3015,N825MQ,DFW,BTR,600,,,,,78.0,,,383,,,718,,,0,1,B,,,,,
2015,1,1,4,MQ,3079,N646MQ,JLN,DFW,600,,,,,80.0,,,327,,,720,,,0,1,B,,,,,
2015,1,1,4,MQ,3189,N532MQ,CID,DFW,600,,,,,140.0,,,685,,,820,,,0,1,B,,,,,
2015,1,1,4,MQ,3302,N649MQ,MLI,DFW,600,,,,,145.0,,,691,,,825,,,0,1,B,,,,,
2015,1,1,4,MQ,3338,N925MQ,GSP,DFW,600,,,,,170.0,,,862,,,750,,,0,1,B,,,,,
2015,1,1,4,MQ,3251,N615MQ,MHK,DFW,600,,,,,100.0,,,431,,,740,,,0,1,B,,,,,
2015,1,1,4,MQ,3377,N631MQ,MOB,DFW,600,,,,,110.0,,,539,,,750,,,0,1,B,,,,,
2015,1,1,4,MQ,3441,N698MQ,TLH,DFW,600,,,,,150.0,,,767,,,730,,,0,1,B,,,,,
2015,1,1,4,MQ,3597,N612MQ,CVG,DFW,600,,,,,165.0,,,812,,,745,,,0,1,B,,,,,
2015,1,1,4,MQ,3611,N902MQ,CAE,DFW,600,,,,,185.0,,,922,,,805,,,0,1,B,,,,,
2015,1,1,4,MQ,3678,N625MQ,TXK,DFW,600,,,,,60.0,,,181,,,700,,,0,1,B,,,,,
2015,1,1,4,OO,5318,N946SW,CMX,ORD,600,,,,,87.0,,,359,,,627,,,0,1,B,,,,,
2015,1,1,4,OO,5445,N579SW,SMF,SFO,600,,,,,52.0,,,86,,,652,,,0,1,A,,,,,
2015,1,1,4,MQ,3224,N631MQ,LRD,DFW,600,,,,,80.0,,,396,,,720,,,0,1,B,,,,,
2015,1,1,4,AA,310,N201AA,MFE,DFW,605,,,,,95.0,,,469,,,740,,,0,1,B,,,,,
2015,1,1,4,MQ,2881,N907MQ,FSM,DFW,605,,,,,70.0,,,227,,,715,,,0,1,B,,,,,
2015,1,1,4,MQ,2771,N667MQ,AEX,DFW,605,,,,,80.0,,,285,,,725,,,0,1,B,,,,,
2015,1,1,4,MQ,3288,N838MQ,SPS,DFW,605,,,,,45.0,,,113,,,650,,,0,1,B,,,,,
2015,1,1,4,MQ,3328,N640MQ,ACT,DFW,605,,,,,45.0,,,89,,,650,,,0,1,B,,,,,
2015,1,1,4,MQ,3408,N625MQ,SJT,DFW,605,,,,,60.0,,,229,,,705,,,0,1,B,,,,,
2015,1,1,4,MQ,3643,N923MQ,JAN,DFW,605,,,,,100.0,,,408,,,745,,,0,1,B,,,,,
2015,1,1,4,AA,1315,N424AA,BNA,DFW,610,,,,,135.0,,,631,,,825,,,0,1,B,,,,,
2015,1,1,4,OO,5337,N961SW,MAF,DEN,612,,,,,116.0,,,563,,,708,,,0,1,B,,,,,
2015,1,1,4,AA,1125,N3KCAA,DTW,DFW,615,,,,,185.0,,,986,,,820,,,0,1,B,,,,,
2015,1,1,4,AA,1581,N3KGAA,DFW,DCA,615,,,,,164.0,,,1192,,,959,,,0,1,B,,,,,
2015,1,1,4,MQ,2958,N657MQ,FAR,DFW,615,,,,,180.0,,,968,,,915,,,0,1,B,,,,,
2015,1,1,4,MQ,3613,N932MQ,MSN,DFW,615,,,,,160.0,,,821,,,855,,,0,1,B,,,,,
2015,1,1,4,AA,269,N557AA,SJC,DFW,620,,,,,215.0,,,1438,,,1155,,,0,1,B,,,,,
2015,1,1,4,MQ,3205,N680MQ,SAV,DFW,620,,,,,185.0,,,925,,,825,,,0,1,B,,,,,
